actor(1, 1) = 0.30577316880226135
actor(2, 2) = 0.3014443516731262
actor(2, 3) = 0.3514123558998108
actor(3, 1) = 0.3020801842212677
goal(0, 0) = 0.26296254992485046
goal(1, 4) = 0.2587989270687103
goal(3, 1) = 0.2578255534172058
goal(3, 4) = 0.27098584175109863
enemy(0, 3) = 0.2572483718395233
enemy(1, 4) = 0.25596827268600464
enemy(3, 0) = 0.2609967887401581
enemy(3, 1) = 0.2671765983104706
enemy(3, 2) = 0.2675670385360718
enemy(3, 3) = 0.26820990443229675
enemy(4, 2) = 0.25846171379089355
enemy(4, 3) = 0.2572995126247406
